obs,D88,D89,FCODE,GRANT,GRANT_1,UNION,YEAR,LSCRAP,LSCRAP_1
1,0,0,410523,0,0,0,1987,-2.8134107167600364,NaN
2,1,0,410523,0,0,0,1988,-2.995732273553991,-2.813410716760036
3,0,1,410523,0,0,0,1989,-2.995732273553991,-2.995732273553991
4,0,0,410538,0,0,1,1987,0.9707789171582248,NaN
5,1,0,410538,0,0,1,1988,1.007957920399979,.9707789171582248
6,0,1,410538,0,0,1,1989,0.9321640810304452,1.007957920399979
7,0,0,410563,0,0,1,1987,1.791759469228055,NaN
8,1,0,410563,0,0,1,1988,1.9459101490553132,1.791759469228055
9,0,1,410563,0,0,1,1989,1.6094379124341003,1.945910149055313
10,0,0,410565,0,0,1,1987,3.044522437723423,NaN
11,1,0,410565,0,0,1,1988,2.3978952727983707,3.044522437723423
12,0,1,410565,0,0,1,1989,-0.916290731874155,2.397895272798371
13,0,0,410566,0,0,0,1987,1.9459101490553132,NaN
14,1,0,410566,0,0,0,1988,1.6094379124341003,1.945910149055313
15,0,1,410566,0,0,0,1989,1.5040773967762742,1.6094379124341
16,0,0,410567,0,0,0,1987,0.0,NaN
17,1,0,410567,0,0,0,1988,-0.6931471805599453,0
18,0,1,410567,0,0,0,1989,-1.2729656758128873,-.6931471805599453
19,0,0,410577,0,0,0,1987,0.5187937934151675,NaN
20,1,0,410577,0,0,0,1988,0.45107561936021673,.5187937934151675
21,0,1,410577,0,0,0,1989,0.494696241836107,.4510756193602167
22,0,0,410592,0,0,0,1987,3.4011973816621555,NaN
23,1,0,410592,0,0,0,1988,3.1780538303479458,3.401197381662156
24,0,1,410592,0,0,0,1989,2.995732273553991,3.178053830347946
25,0,0,410593,0,0,0,1987,0.0,NaN
26,1,0,410593,0,0,0,1988,0.0,0
27,0,1,410593,0,0,0,1989,0.0,0
28,0,0,410596,0,0,0,1987,2.302585092994046,NaN
29,1,0,410596,0,0,0,1988,1.791759469228055,2.302585092994046
30,0,1,410596,0,0,0,1989,1.3862943611198906,1.791759469228055
31,0,0,410606,0,0,0,1987,-0.4155154439616658,NaN
32,1,0,410606,0,0,0,1988,-1.0788096613719298,-.4155154439616658
33,0,1,410606,0,0,0,1989,-0.941608539858445,-1.07880966137193
34,0,0,410626,0,0,1,1987,-0.13926206733350766,NaN
35,1,0,410626,0,0,1,1988,-0.19845093872383832,-.1392620673335077
36,0,1,410626,0,0,1,1989,-0.342490308946776,-.1984509387238383
37,0,0,410629,0,0,0,1987,0.1823215567939546,NaN
38,1,0,410629,0,0,0,1988,-0.6348782724359695,.1823215567939546
39,0,1,410629,0,0,0,1989,-0.7133498878774648,-.6348782724359695
40,0,0,410653,0,0,1,1987,0.058268908123975824,NaN
41,1,0,410653,0,0,1,1988,0.02955880224154443,.0582689081239758
42,0,1,410653,0,0,1,1989,0.131028262406404,.0295588022415444
43,0,0,410665,0,0,0,1987,-2.995732273553991,NaN
44,1,0,410665,0,0,0,1988,-2.5257286443082556,-2.995732273553991
45,0,1,410665,0,0,0,1989,-3.506557897319982,-2.525728644308256
46,0,0,410685,0,0,0,1987,-1.9661128563728327,NaN
47,1,0,410685,0,0,0,1988,-1.8325814637483102,-1.966112856372833
48,0,1,410685,0,0,0,1989,-1.4696759700589417,-1.83258146374831
49,0,0,418011,0,0,1,1987,2.302585092994046,NaN
50,1,0,418011,1,0,1,1988,1.0986122886681098,2.302585092994046
51,0,1,418011,0,1,1,1989,0.6931471805599453,1.09861228866811
52,0,0,418021,0,0,0,1987,0.0,NaN
53,1,0,418021,1,0,0,1988,0.0,0
54,0,1,418021,0,1,0,1989,0.0,0
55,0,0,418035,0,0,0,1987,1.791759469228055,NaN
56,1,0,418035,1,0,0,1988,1.6094379124341003,1.791759469228055
57,0,1,418035,0,1,0,1989,1.0986122886681098,1.6094379124341
58,0,0,418045,0,0,0,1987,0.6931471805599453,NaN
59,1,0,418045,0,0,0,1988,0.6931471805599453,.6931471805599453
60,0,1,418045,0,0,0,1989,0.6931471805599453,.6931471805599453
61,0,0,418051,0,0,1,1987,-0.7985076962177716,NaN
62,1,0,418051,1,0,1,1988,-0.6931471805599453,-.7985076962177716
63,0,1,418051,0,1,1,1989,-0.6931471805599453,-.6931471805599453
64,0,0,418054,0,0,0,1987,0.22314355131420976,NaN
65,1,0,418054,1,0,0,1988,0.43178241642553783,.2231435513142098
66,0,1,418054,0,1,0,1989,-0.040821994520255166,.4317824164255378
67,0,0,418065,0,0,1,1987,0.26236426446749106,NaN
68,1,0,418065,1,0,1,1988,0.4054651081081644,.2623642644674911
69,0,1,418065,0,1,1,1989,0.0,.4054651081081644
70,0,0,418076,0,0,0,1987,0.058268908123975824,NaN
71,1,0,418076,1,0,0,1988,-0.2231435513142097,.0582689081239758
72,0,1,418076,0,1,0,1989,-1.5141277326297755,-.2231435513142097
73,0,0,418083,0,0,1,1987,1.0986122886681098,NaN
74,1,0,418083,1,0,1,1988,0.6931471805599453,1.09861228866811
75,0,1,418083,0,1,1,1989,0.0,.6931471805599453
76,0,0,418091,0,0,0,1987,2.1016921506146558,NaN
77,1,0,418091,1,0,0,1988,-0.40047756659712525,2.101692150614656
78,0,1,418091,0,1,0,1989,-0.579818495252942,-.4004775665971253
79,0,0,418097,0,0,0,1987,0.5128236264286637,NaN
80,1,0,418097,1,0,0,1988,0.1570037488096647,.5128236264286638
81,0,1,418097,0,1,0,1989,0.35065687161316933,.1570037488096647
82,0,0,418107,0,0,0,1987,-0.020202707317519466,NaN
83,1,0,418107,1,0,0,1988,-0.6733445532637656,-.0202027073175195
84,0,1,418107,0,1,0,1989,-0.7985076962177716,-.6733445532637656
85,0,0,418118,0,0,0,1987,0.0,NaN
86,1,0,418118,1,0,0,1988,-0.6931471805599453,0
87,0,1,418118,0,1,0,1989,-2.3025850929940455,-.6931471805599453
88,0,0,418125,0,0,0,1987,-0.7985076962177716,NaN
89,1,0,418125,1,0,0,1988,-0.4942963218147801,-.7985076962177716
90,0,1,418125,0,1,0,1989,-0.5108256237659907,-.4942963218147801
91,0,0,418140,0,0,0,1987,2.0794415416798357,NaN
92,1,0,418140,1,0,0,1988,1.3862943611198906,2.079441541679836
93,0,1,418140,0,1,0,1989,0.9162907318741551,1.386294361119891
94,0,0,418163,0,0,1,1987,2.1972245773362196,NaN
95,1,0,418163,1,0,1,1988,1.9459101490553132,2.19722457733622
96,0,1,418163,0,1,1,1989,1.8718021769015913,1.945910149055313
97,0,0,418168,0,0,0,1987,-4.605170185988091,NaN
98,1,0,418168,0,0,0,1988,-2.2072749131897207,-4.605170185988091
99,0,1,418168,0,0,0,1989,-1.6094379124341003,-2.207274913189721
100,0,0,418177,0,0,1,1987,2.8903717578961645,NaN
101,1,0,418177,1,0,1,1988,2.9444389791664403,2.890371757896165
102,0,1,418177,0,1,1,1989,2.8903717578961645,2.94443897916644
103,0,0,418237,0,0,1,1987,-1.2729656758128873,NaN
104,1,0,418237,1,0,1,1988,-1.6094379124341003,-1.272965675812887
105,0,1,418237,0,1,1,1989,-1.6607312068216509,-1.6094379124341
106,0,0,419198,0,0,0,1987,1.9459101490553132,NaN
107,1,0,419198,1,0,0,1988,1.6094379124341003,1.945910149055313
108,0,1,419198,0,1,0,1989,1.3862943611198906,1.6094379124341
109,0,0,419201,0,0,0,1987,0.6931471805599453,NaN
110,1,0,419201,0,0,0,1988,0.6931471805599453,.6931471805599453
111,0,1,419201,0,0,0,1989,0.6931471805599453,.6931471805599453
112,0,0,419242,0,0,1,1987,1.3787660946990992,NaN
113,1,0,419242,1,0,1,1988,1.3428648031925547,1.378766094699099
114,0,1,419242,0,1,1,1989,1.7404661748405046,1.342864803192555
115,0,0,419268,0,0,0,1987,0.3293037471426003,NaN
116,1,0,419268,0,0,0,1988,0.14842000511827322,.3293037471426003
117,0,1,419268,1,0,0,1989,-0.10536051565782628,.1484200051182732
118,0,0,419272,0,0,0,1987,3.0204248861443626,NaN
119,1,0,419272,0,0,0,1988,3.1780538303479458,3.020424886144363
120,0,1,419272,1,0,0,1989,2.833213344056216,3.178053830347946
121,0,0,419289,0,0,0,1987,0.4054651081081644,NaN
122,1,0,419289,0,0,0,1988,0.34358970439007686,.4054651081081644
123,0,1,419289,1,0,0,1989,-0.05129329438755058,.3435897043900769
124,0,0,419297,0,0,1,1987,-1.6094379124341003,NaN
125,1,0,419297,0,0,1,1988,-1.171182981502945,-1.6094379124341
126,0,1,419297,0,0,1,1989,-1.3093333199837622,-1.171182981502945
127,0,0,419307,0,0,0,1987,0.0,NaN
128,1,0,419307,0,0,0,1988,-0.16251892949777494,0
129,0,1,419307,1,0,0,1989,-0.11653381625595151,-.1625189294977749
130,0,0,419339,0,0,1,1987,-0.6931471805599453,NaN
131,1,0,419339,0,0,1,1988,-0.527632742082372,-.6931471805599453
132,0,1,419339,0,0,1,1989,-0.7985076962177716,-.527632742082372
133,0,0,419343,0,0,1,1987,1.6094379124341003,NaN
134,1,0,419343,0,0,1,1988,1.3862943611198906,1.6094379124341
135,0,1,419343,1,0,1,1989,1.0986122886681098,1.386294361119891
136,0,0,419357,0,0,0,1987,0.6931471805599453,NaN
137,1,0,419357,0,0,0,1988,0.0,.6931471805599453
138,0,1,419357,1,0,0,1989,-0.6931471805599453,0
139,0,0,419378,0,0,0,1987,0.9969486348916096,NaN
140,1,0,419378,0,0,0,1988,0.41871033485818504,.9969486348916096
141,0,1,419378,1,0,0,1989,0.29266961396282004,.418710334858185
142,0,0,419381,0,0,0,1987,-0.4307829160924542,NaN
143,1,0,419381,0,0,0,1988,-0.5978370007556204,-.4307829160924542
144,0,1,419381,1,0,0,1989,-0.9675840262617056,-.5978370007556204
145,0,0,419388,0,0,0,1987,2.3978952727983707,NaN
146,1,0,419388,0,0,0,1988,2.0794415416798357,2.397895272798371
147,0,1,419388,1,0,0,1989,1.791759469228055,2.079441541679836
148,0,0,419409,0,0,0,1987,0.8109302162163288,NaN
149,1,0,419409,0,0,0,1988,0.9162907318741551,.8109302162163288
150,0,1,419409,1,0,0,1989,0.6931471805599453,.9162907318741551
151,0,0,419432,0,0,0,1987,1.6094379124341003,NaN
152,1,0,419432,0,0,0,1988,1.5686159179138452,1.6094379124341
153,0,1,419432,0,0,0,1989,1.6486586255873816,1.568615917913845
154,0,0,419459,0,0,1,1987,0.5128236264286637,NaN
155,1,0,419459,0,0,1,1988,0.9162907318741551,.5128236264286638
156,0,1,419459,0,0,1,1989,0.11332868530700327,.9162907318741551
157,0,0,419482,0,0,0,1987,0.9932517730102834,NaN
158,1,0,419482,0,0,0,1988,0.9516578757114463,.9932517730102835
159,0,1,419482,0,0,0,1989,1.0296194171811581,.9516578757114463
160,0,0,419483,0,0,1,1987,2.995732273553991,NaN
161,1,0,419483,0,0,1,1988,3.2188758248682006,2.995732273553991
162,0,1,419483,0,0,1,1989,3.4011973816621555,3.218875824868201
